Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
4,80,0.15,0.06,0.078,0.033,0.225,0.034,0.5,9,1.5,12.738
2,40,0.15,0.1,0.026,0.033,0.075,0.0068,0.1,15,0.75,5.527
4,80,0.15,0.2,0.026,0.33,0.075,0.0204,0.3,9,1.5,19.079
1.2,40,0.15,0.1,0.026,0.099,0.075,0.034,0.5,3,0.75,9.743
4,80,1.5,0.06,0.13,0.033,0.075,0.068,0.1,9,1.5,27.388
2,40,0.15,0.06,0.078,0.165,0.075,0.034,0.1,15,0.75,6.65
1.2,40,0.15,0.06,0.026,0.033,0.075,0.0204,0.3,15,0.45,9.576
1.2,40,0.15,0.02,0.026,0.165,0.075,0.0068,0.3,15,0.75,11.409
2,40,0.15,0.02,0.078,0.099,0.075,0.0204,0.1,15,0.75,5.624
4,80,1.5,0.2,0.13,0.33,0.75,0.068,1,30,1.5,0.257
0.4,8,0.15,0.1,0.026,0.165,0.375,0.0204,0.1,9,0.45,2.418
4,80,0.45,0.02,0.13,0.165,0.075,0.0204,0.1,9,1.5,20.144
2,40,0.45,0.02,0.026,0.165,0.225,0.0204,0.3,15,0.75,11.356
4,80,0.45,0.02,0.026,0.033,0.075,0.034,1,9,1.5,1.614
1.2,40,0.45,0.06,0.026,0.033,0.075,0.034,0.1,3,0.75,10.791
4,80,1.5,0.02,0.026,0.165,0.375,0.068,0.1,9,1.5,24.18
2,40,0.45,0.06,0.026,0.099,0.075,0.0204,0.3,15,0.45,4.503
0.4,40,0.45,0.1,0.078,0.099,0.375,0.0068,0.3,3,0.15,1.776
1.2,40,0.45,0.1,0.026,0.033,0.075,0.034,0.5,9,0.75,12.481
2,8,0.45,0.1,0.026,0.033,0.075,0.034,0.5,9,0.75,6.41
4,80,1.5,0.02,0.026,0.165,0.225,0.0204,0.1,9,1.5,27.312
